Date Of Stop,Month,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Personal Injury,Property Damage,Fatal,Commercial License,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
7/12/2017,Jul-17,14:10:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,21600BLK. ZION RD,39.21991733,-77.08538133,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,28 - Other,2017,ISUZU,TRASH TK,WHITE,Warning,21-201(a1),Transportation Article,No,WHITE,M,DILLWYN,VA,VA,A - Marked Patrol,"(39.2199173333333, -77.0853813333333)"
7/12/2017,Jul-17,20:56:00,MCP,"2nd district, Bethesda",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,27/HENDERSON CORNER,39.20861,-77.24066333,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2007,MITS,GALANT,BLACK,Warning,21-204(b),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.20861, -77.2406633333333)"
7/12/2017,Jul-17,12:38:00,MCP,Headquarters and Special Operations,RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,RT 124 @ BRINK RD,39.20737833,-77.16877167,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2007,FORD,MUSTANG,BLACK,Citation,21-901.1(a),Transportation Article,No,WHITE,M,LAYTONSVILLE,MD,MD,A - Marked Patrol,"(39.2073783333333, -77.1687716666667)"
7/12/2017,Jul-17,12:38:00,MCP,Headquarters and Special Operations,"NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",RT 124 @ BRINK RD,39.20737833,-77.16877167,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2007,FORD,MUSTANG,BLACK,Citation,21-901.1(b),Transportation Article,No,WHITE,M,LAYTONSVILLE,MD,MD,A - Marked Patrol,"(39.2073783333333, -77.1687716666667)"
7/12/2017,Jul-17,12:38:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,RT 124 @ BRINK RD,39.20737833,-77.16877167,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2007,FORD,MUSTANG,BLACK,Citation,21-202(h1),Transportation Article,No,WHITE,M,LAYTONSVILLE,MD,MD,A - Marked Patrol,"(39.2073783333333, -77.1687716666667)"
7/12/2017,Jul-17,12:38:00,MCP,Headquarters and Special Operations,DRIVING ON LEFT SIDE OF ROADWAY IN POSTED NO PASSING ZONE MARKED BY PAVEMENT STRIPING,RT 124 @ BRINK RD,39.20737833,-77.16877167,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2007,FORD,MUSTANG,BLACK,Citation,21-307(c),Transportation Article,No,WHITE,M,LAYTONSVILLE,MD,MD,A - Marked Patrol,"(39.2073783333333, -77.1687716666667)"
7/12/2017,Jul-17,8:35:00,MCP,Headquarters and Special Operations,FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,RIDGE RD @ OBSERVATION DR,39.20312,-77.25133833,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,ME,25 - Utility Trailer,2004,KRAF,UTILITY,BLACK,Warning,22-219(a),Transportation Article,No,BLACK,M,COLUMBIA,MD,MD,A - Marked Patrol,"(39.20312, -77.2513383333333)"
7/12/2017,Jul-17,8:35:00,MCP,Headquarters and Special Operations,FAILURE TO EQUIP VEH. WITH REQUIRED ELECTRIC TURN SIGNALS,RIDGE RD @ OBSERVATION DR,39.20312,-77.25133833,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,ME,25 - Utility Trailer,2004,KRAF,UTILITY,BLACK,Warning,22-219(b),Transportation Article,No,BLACK,M,COLUMBIA,MD,MD,A - Marked Patrol,"(39.20312, -77.2513383333333)"
7/12/2017,Jul-17,10:48:00,MCP,"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,NB 270 @  FATHER HURLEY EXIT,39.20163167,-77.267075,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2015,CHEVROLET,CRUZE,MAROON,Warning,21-801.1,Transportation Article,No,WHITE,F,FREDERICK,MD,MD,A - Marked Patrol,"(39.2016316666667, -77.267075)"
7/12/2017,Jul-17,13:44:00,MCP,"5th district, Germantown","DRIVER WRITING,SENDING,READING A TEXT,ELECTRONIC MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY",20680 SENECA MEADOWS PWK,39.199535,-77.254285,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2011,TOYT,2S,GRAY,Citation,21-1124.1(b),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.199535, -77.254285)"
7/12/2017,Jul-17,11:43:00,MCP,"5th district, Germantown",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,OBSERVATION DRIVE AT SHAKESPEARE BLVD,39.198435,-77.25372,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2012,HONDA,ACCORD,GRAY,Warning,21-201(a1),Transportation Article,No,WHITE,M,SYKESVILLE,MD,MD,A - Marked Patrol,"(39.198435, -77.25372)"
7/12/2017,Jul-17,2:10:00,MCP,"5th district, Germantown",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,GERMANTOWN RD @ SCENERY DR,39.19260667,-77.24123667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,VA,02 - Automobile,2006,HONDA,ODYSSEY,GRAY,Warning,21-204(b),Transportation Article,No,OTHER,M,GLEN ALLEN,VA,VA,A - Marked Patrol,"(39.1926066666667, -77.2412366666667)"
7/12/2017,Jul-17,22:58:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,SB I270 / COMUS RD,39.19171483,-77.259839,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,VA,02 - Automobile,2010,NISS,VERSA 4S,WHITE,Warning,21-801.1,Transportation Article,No,WHITE,M,CHESAPEAK,VA,VA,B - Unmarked Patrol,"(39.1917148333333, -77.259839)"
7/12/2017,Jul-17,2:19:00,MCP,"5th district, Germantown",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,GERMANTOWN RD @ SCENERY DR,39.19146833,-77.23459167,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2008,FORD,4D,BLACK,Warning,21-204(b),Transportation Article,No,BLACK,F,LAUREL,MD,MD,A - Marked Patrol,"(39.1914683333333, -77.2345916666667)"
7/12/2017,Jul-17,13:54:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,21500 BLK OF ZION RD,39.1899635,-77.10169483,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,06 - Heavy Duty Truck,2011,INTL,BOX TK,YELLOW,Warning,21-201(a1),Transportation Article,No,WHITE,M,SYKESVILLE,MD,MD,A - Marked Patrol,"(39.1899635, -77.1016948333333)"
7/12/2017,Jul-17,7:52:00,MCP,"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,AIRCRAFT DRIVE/ CRYSTAL ROCK DRIV,39.18584167,-77.26331833,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2013,HOND,TK,BLACK,Warning,21-801.1,Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1858416666667, -77.2633183333333)"
7/12/2017,Jul-17,1:18:00,MCP,"1st district, Rockville",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,MIDDLEBROOK RD / CENTURY BLVD,39.18371333,-77.27223,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2010,TOYT,4S,GRAY,Warning,22-204(f),Transportation Article,No,ASIAN,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1837133333333, -77.27223)"
7/12/2017,Jul-17,12:58:00,MCP,"5th district, Germantown",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,CENTURY BLVD & CRYSTAL ROCK DR,39.18318333,-77.26285,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,05 - Light Duty Truck,2012,CHEVY,TAHOE,BLACK,Warning,13-411(a),Transportation Article,No,WHITE,M,KENSINGTON,MD,MD,A - Marked Patrol,"(39.1831833333333, -77.26285)"
7/12/2017,Jul-17,1:40:00,MCP,"5th district, Germantown","MOTOR VEH., TRAILER, SEMI-TRAILER, POLE TRAILER W/O REQUIRED STOP LAMPS EQUIPMENT",BRANDERMILL DR @ APPLEDOWRE WAY,39.18174333,-77.23520667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2010,NISS,SENTRA,BLACK,Warning,22-206(a),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1817433333333, -77.2352066666667)"
7/12/2017,Jul-17,1:40:00,MCP,"5th district, Germantown",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,BRANDERMILL DR @ APPLEDOWRE WAY,39.18174333,-77.23520667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2010,NISS,SENTRA,BLACK,Warning,23-104,Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1817433333333, -77.2352066666667)"
7/12/2017,Jul-17,1:40:00,MCP,"5th district, Germantown",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,BRANDERMILL DR @ APPLEDOWRE WAY,39.18174333,-77.23520667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2010,NISS,SENTRA,BLACK,Warning,13-409(b),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1817433333333, -77.2352066666667)"
7/12/2017,Jul-17,11:14:00,MCP,"5th district, Germantown",STOP LIGHTS (*),MIDDLEBROOK RD @ OBSERVATION DR,39.179115,-77.240865,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2006,NISS,4S,BLUE,ESERO,64*,,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.179115, -77.240865)"
7/12/2017,Jul-17,22:32:00,MCP,"3rd district, Silver Spring",DRIVER CHANGING LANES WHEN UNSAFE,SB NEW HAMPSHIRE AVE / CHALMERS RD,39.17855333,-77.25994667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2005,HOND,CRV,SILVER,Warning,21-309(b),Transportation Article,No,OTHER,F,HYATTSVILLE,MD,MD,A - Marked Patrol,"(39.1785533333333, -77.2599466666667)"
7/12/2017,Jul-17,20:17:00,MCP,"6th district, Gaithersburg / Montgomery Village",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,MONTGOMERY VILLAGE AVE/ BRASSIE PL.,39.17766167,-77.19614833,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,VA,02 - Automobile,2008,CADILLAC,CTS,SILVER,Warning,22-406(i1),Transportation Article,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1776616666667, -77.1961483333333)"
7/12/2017,Jul-17,18:24:00,MCP,"5th district, Germantown",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,FREDERICK RD @ GUNNERS BRANCH RD,39.17737833,-77.23852333,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2003,HONDA,ODYSSEY,SILVER,Citation,16-303(c),Transportation Article,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1773783333333, -77.2385233333333)"
7/12/2017,Jul-17,18:24:00,MCP,"5th district, Germantown","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",FREDERICK RD @ GUNNERS BRANCH RD,39.17737833,-77.23852333,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2003,HONDA,ODYSSEY,SILVER,Citation,16-303(h),Transportation Article,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1773783333333, -77.2385233333333)"
7/12/2017,Jul-17,18:24:00,MCP,"5th district, Germantown",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,FREDERICK RD @ GUNNERS BRANCH RD,39.17737833,-77.23852333,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2003,HONDA,ODYSSEY,SILVER,Citation,16-101(a),Transportation Article,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1773783333333, -77.2385233333333)"
7/12/2017,Jul-17,13:24:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,GERMANTOWN RD/WISTERIA DR,39.17660833,-77.270465,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2004,TOYT,4S,"BLUE, DARK",Warning,13-409(b),Transportation Article,No,ASIAN,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1766083333333, -77.270465)"
7/12/2017,Jul-17,13:24:00,MCP,"6th district, Gaithersburg / Montgomery Village",STOP LIGHTS (*),GERMANTOWN RD/WISTERIA DR,39.17660833,-77.270465,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2004,TOYT,4S,"BLUE, DARK",ESERO,64*,,No,ASIAN,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1766083333333, -77.270465)"
7/12/2017,Jul-17,0:53:00,MCP,"5th district, Germantown",HEADLIGHTS (*),GUNNERS BRANCH RD @ MIDRIDGE RD,39.17624333,-77.241025,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,1996,TOYT,CAMRY,WHITE,ESERO,55*,,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1762433333333, -77.241025)"
7/12/2017,Jul-17,0:53:00,MCP,"5th district, Germantown",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,GUNNERS BRANCH RD @ MIDRIDGE RD,39.17624333,-77.241025,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,1996,TOYT,CAMRY,WHITE,Warning,13-409(b),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1762433333333, -77.241025)"
7/12/2017,Jul-17,18:10:00,MCP,"5th district, Germantown",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,FREDERICK RD @ GUNNERS BRANCH RD,39.17537667,-77.241085,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2013,FORD,EXPLORER,BLUE,Warning,21-201(a1),Transportation Article,No,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.1753766666667, -77.241085)"
7/12/2017,Jul-17,21:22:00,MCP,"3rd district, Silver Spring",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,MIDDLEBROOK RD/ WARING STATION,39.17475,-77.25221,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2015,TOYOTA,RAV4,GRAY,Warning,21-801.1,Transportation Article,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.17475, -77.25221)"
7/12/2017,Jul-17,17:34:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 62 MPH IN A POSTED 40 MPH ZONE,19300 BLK GERMANTOWN RD,39.17344667,-77.28158667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2011,LEXS,4S,WHITE,Citation,21-801.1,Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1734466666667, -77.2815866666667)"
7/12/2017,Jul-17,17:34:00,MCP,"5th district, Germantown",FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR,19300 BLK GERMANTOWN RD,39.17344667,-77.28158667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2011,LEXS,4S,WHITE,Warning,13-411(a),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1734466666667, -77.2815866666667)"
7/12/2017,Jul-17,16:56:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE,19300 BLK GERMANTOWN RD,39.17224,-77.27659833,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2007,TOYOTA,AVALON,SILVER,Citation,21-801.1,Transportation Article,No,WHITE,M,BOYDS,MD,MD,A - Marked Patrol,"(39.17224, -77.2765983333333)"
7/12/2017,Jul-17,17:01:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE,19300 GERMANTOWN RD,39.17198333,-77.27662333,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2003,HOND,ACCORD,GOLD,Citation,21-801.1,Transportation Article,No,WHITE,M,MONTGOMERY VILLAGE,MD,MD,Q - Marked Laser,"(39.1719833333333, -77.2766233333333)"
7/12/2017,Jul-17,18:06:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 75 MPH IN A POSTED 40 MPH ZONE,19300 BLK GERMANTOWN RD,39.17196,-77.280115,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2012,TOYOTA,CAMRY,GRAY,Citation,21-801.1,Transportation Article,No,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.17196, -77.280115)"
7/12/2017,Jul-17,17:07:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE,19300 GERMANTOWN RD,39.171825,-77.276985,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,05 - Light Duty Truck,2016,BMW,X5,WHITE,Citation,21-801.1,Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,Q - Marked Laser,"(39.171825, -77.276985)"
7/12/2017,Jul-17,17:20:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE,19300 GERMANTOWN RD,39.17175167,-77.27705667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2011,DODGE,CHARGER,GRAY,Citation,21-801.1,Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,Q - Marked Laser,"(39.1717516666667, -77.2770566666667)"
7/12/2017,Jul-17,16:45:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE,19300 BLK GERMANTOWN RD,39.17174667,-77.27770667,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2017,FORD,EXPLORER,BLACK,Citation,21-801.1,Transportation Article,No,WHITE,M,BOYDS,MD,MD,A - Marked Patrol,"(39.1717466666667, -77.2777066666667)"
7/12/2017,Jul-17,17:15:00,MCP,"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,19300 BLK GERMANTOWN RD,39.17173667,-77.27704167,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2017,TOYOTA,COROLLA,BLACK,Warning,21-801.1,Transportation Article,No,OTHER,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1717366666667, -77.2770416666667)"
